Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
FreeCRM-BasicFunctionalityCheck,Chrome 68.0.3440.106,,2018-08-26 21:20:22,2018-08-26 21:20:57,35.274s,PASSED
,,,,,,
Test Cases/FreeCRM-Login,Chrome 68.0.3440.106,Login Scenario,2018-08-26 21:20:23,2018-08-26 21:20:57,34.567s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-26 21:20:24,2018-08-26 21:20:36,11.944s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-26 21:20:36,2018-08-26 21:20:42,6.170s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-26 21:20:42,2018-08-26 21:20:43,0.836s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-08-26 21:20:43,2018-08-26 21:20:44,1.151s,PASSED
click,Chrome 68.0.3440.106,,2018-08-26 21:20:44,2018-08-26 21:20:53,9.486s,PASSED
click,Chrome 68.0.3440.106,,2018-08-26 21:20:53,2018-08-26 21:20:54,0.593s,PASSED
closeBrowser,Chrome 68.0.3440.106,,2018-08-26 21:20:54,2018-08-26 21:20:55,1.311s,PASSED
