Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
FreeCRM-BasicFunctionalityCheck,Chrome 68.0.3440.106,,2018-09-05 23:21:05,2018-09-05 23:21:46,41.504s,PASSED
,,,,,,
Test Cases/FreeCRM/FreeCRM-Login,Chrome 68.0.3440.106,Login Scenario,2018-09-05 23:21:05,2018-09-05 23:21:46,40.558s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-05 23:21:09,2018-09-05 23:21:24,14.778s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-05 23:21:24,2018-09-05 23:21:31,7.643s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-05 23:21:31,2018-09-05 23:21:32,0.577s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-09-05 23:21:32,2018-09-05 23:21:32,0.435s,PASSED
click,Chrome 68.0.3440.106,,2018-09-05 23:21:32,2018-09-05 23:21:42,9.500s,PASSED
click,Chrome 68.0.3440.106,,2018-09-05 23:21:42,2018-09-05 23:21:42,0.545s,PASSED
closeBrowser,Chrome 68.0.3440.106,,2018-09-05 23:21:42,2018-09-05 23:21:44,1.373s,PASSED
