Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
FreeCRM-BasicFunctionalityCheck,Chrome 68.0.3440.106,,2018-08-26 20:03:37,2018-08-26 20:04:10,32.576s,PASSED
,,,,,,
Test Cases/FreeCRM-Login,Chrome 68.0.3440.106,Login Scenario,2018-08-26 20:03:38,2018-08-26 20:04:10,31.943s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-26 20:03:39,2018-08-26 20:03:49,10.669s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-26 20:03:49,2018-08-26 20:03:55,5.334s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-26 20:03:55,2018-08-26 20:03:56,0.953s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-08-26 20:03:56,2018-08-26 20:03:56,0.347s,PASSED
click,Chrome 68.0.3440.106,,2018-08-26 20:03:56,2018-08-26 20:04:06,9.653s,PASSED
click,Chrome 68.0.3440.106,,2018-08-26 20:04:06,2018-08-26 20:04:06,0.391s,PASSED
closeBrowser,Chrome 68.0.3440.106,,2018-08-26 20:04:06,2018-08-26 20:04:08,1.588s,PASSED
