Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
FreeCRM-BasicFunctionalityCheck,Chrome 68.0.3440.106,,2018-08-26 20:43:35,2018-08-26 20:44:26,51.299s,PASSED
,,,,,,
Test Cases/FreeCRM-Login,Chrome 68.0.3440.106,Login Scenario,2018-08-26 20:43:35,2018-08-26 20:44:26,50.676s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-26 20:43:37,2018-08-26 20:44:01,24.413s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-26 20:44:01,2018-08-26 20:44:09,8.082s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-26 20:44:09,2018-08-26 20:44:10,0.777s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-08-26 20:44:10,2018-08-26 20:44:11,0.518s,PASSED
click,Chrome 68.0.3440.106,,2018-08-26 20:44:11,2018-08-26 20:44:22,11.291s,PASSED
click,Chrome 68.0.3440.106,,2018-08-26 20:44:22,2018-08-26 20:44:23,0.648s,PASSED
closeBrowser,Chrome 68.0.3440.106,,2018-08-26 20:44:23,2018-08-26 20:44:24,1.422s,PASSED
