Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
FreeCRM-BasicFunctionalityCheck,Chrome 68.0.3440.106,,2018-09-05 21:26:08,2018-09-05 21:26:44,35.974s,PASSED
,,,,,,
Test Cases/FreeCRM/FreeCRM-Login,Chrome 68.0.3440.106,Login Scenario,2018-09-05 21:26:08,2018-09-05 21:26:44,35.307s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-05 21:26:10,2018-09-05 21:26:20,10.355s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-05 21:26:20,2018-09-05 21:26:26,6.074s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-05 21:26:26,2018-09-05 21:26:27,0.741s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-09-05 21:26:27,2018-09-05 21:26:28,0.945s,PASSED
click,Chrome 68.0.3440.106,,2018-09-05 21:26:28,2018-09-05 21:26:40,11.496s,PASSED
click,Chrome 68.0.3440.106,,2018-09-05 21:26:40,2018-09-05 21:26:40,0.654s,PASSED
closeBrowser,Chrome 68.0.3440.106,,2018-09-05 21:26:40,2018-09-05 21:26:42,1.465s,PASSED
